Type,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,FireRed,LeafGreen,Emerald,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus,Scarlet,Violet,Total
Psychic,0.09352517985611511,0.09352517985611511,0.08695652173913043,0.0945945945945946,0.0945945945945946,0.09417040358744394,0.12953367875647667,0.12953367875647667,0.09183673469387756,0.1134020618556701,0.1092436974789916,0.0995260663507109,0.1066350710900474,0.10344827586206896,0.11528150134048257,0.1105121293800539,0.09142857142857143,0.08666666666666667,0.09195402298850575,0.08620689655172414,0.0947136563876652,0.09251101321585903,0.10044642857142858,0.10267857142857142,0.07238605898123325,0.07506702412868632,0.08818011257035648,0.09568480300187618,0.09352517985611511,0.09352517985611511,0.1028225806451613,0.10483870967741936,0.0913978494623656,0.09893048128342247,0.07916666666666666,0.08970976253298153,0.08443271767810026,0.09635799444716642
Bug,0.07913669064748201,0.07913669064748201,0.06521739130434782,0.09009009009009009,0.09009009009009009,0.09865470852017937,0.08290155440414508,0.08290155440414508,0.09183673469387756,0.08762886597938144,0.08823529411764706,0.10426540284360189,0.1018957345971564,0.10344827586206896,0.10723860589812333,0.1078167115902965,0.11428571428571428,0.10888888888888888,0.07471264367816093,0.07471264367816093,0.09691629955947137,0.09691629955947137,0.08705357142857142,0.08705357142857142,0.08042895442359249,0.08042895442359249,0.08442776735459662,0.08442776735459662,0.07913669064748201,0.07913669064748201,0.08669354838709678,0.08669354838709678,0.08870967741935484,0.0855614973262032,0.0875,0.07387862796833773,0.0712401055408971,0.08974358974358974
Rock,0.07913669064748201,0.07913669064748201,0.07971014492753623,0.06306306306306306,0.06306306306306306,0.06278026905829596,0.09326424870466321,0.09326424870466321,0.07653061224489796,0.07731958762886598,0.07983193277310924,0.08530805687203792,0.07109004739336493,0.08505747126436781,0.07506702412868632,0.07547169811320754,0.1,0.09111111111111111,0.10919540229885058,0.10919540229885058,0.10792951541850221,0.10792951541850221,0.10267857142857142,0.10267857142857142,0.0777479892761394,0.0777479892761394,0.10318949343339587,0.1050656660412758,0.07913669064748201,0.07913669064748201,0.08266129032258064,0.08870967741935484,0.053763440860215055,0.05080213903743316,0.06666666666666667,0.05013192612137203,0.04221635883905013,0.08386411889596602
Ghost,0.02158273381294964,0.02158273381294964,0.021739130434782608,0.018018018018018018,0.018018018018018018,0.017937219730941704,0.025906735751295335,0.031088082901554404,0.015306122448979591,0.020618556701030927,0.025210084033613446,0.037914691943127965,0.04265402843601896,0.0367816091954023,0.021447721179624665,0.018867924528301886,0.04285714285714286,0.044444444444444446,0.040229885057471264,0.040229885057471264,0.048458149779735685,0.048458149779735685,0.03571428571428571,0.03794642857142857,0.058981233243967826,0.06166219839142091,0.058161350844277676,0.054409005628517824,0.02158273381294964,0.02158273381294964,0.07459677419354839,0.07862903225806452,0.026881720430107527,0.034759358288770054,0.0625,0.06860158311345646,0.07387862796833773,0.04319777886656868
Dragon,0.02158273381294964,0.02158273381294964,0.021739130434782608,0.018018018018018018,0.018018018018018018,0.017937219730941704,0.05181347150259067,0.05181347150259067,0.02040816326530612,0.020618556701030927,0.04201680672268908,0.02843601895734597,0.035545023696682464,0.03218390804597701,0.029490616621983913,0.029649595687331536,0.04,0.042222222222222223,0.04885057471264368,0.04885057471264368,0.06167400881057269,0.06387665198237885,0.05133928571428571,0.049107142857142856,0.07238605898123325,0.07238605898123325,0.06941838649155722,0.07129455909943715,0.02158273381294964,0.02158273381294964,0.06451612903225806,0.06048387096774194,0.026881720430107527,0.034759358288770054,0.0375,0.06860158311345646,0.0712401055408971,0.04679078882900539
Dark,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.026905829596412557,0.046632124352331605,0.04145077720207254,0.015306122448979591,0.015463917525773196,0.05042016806722689,0.04976303317535545,0.037914691943127965,0.04367816091954023,0.03753351206434316,0.03504043126684636,0.07714285714285714,0.057777777777777775,0.07183908045977011,0.06609195402298851,0.07268722466960352,0.07268722466960352,0.05357142857142857,0.05133928571428571,0.04825737265415549,0.05361930294906166,0.058161350844277676,0.0600375234521576,0.0,0.0,0.07258064516129033,0.06653225806451613,0.051075268817204304,0.034759358288770054,0.05,0.10026385224274406,0.08179419525065963,0.05169034786869182
Steel,0.014388489208633094,0.014388489208633094,0.014492753623188406,0.02252252252252252,0.02702702702702703,0.026905829596412557,0.05699481865284974,0.05181347150259067,0.025510204081632654,0.015463917525773196,0.05042016806722689,0.054502369668246446,0.04265402843601896,0.05517241379310345,0.03753351206434316,0.0431266846361186,0.06285714285714286,0.06222222222222222,0.08620689655172414,0.08620689655172414,0.05286343612334802,0.046255506607929514,0.060267857142857144,0.05803571428571429,0.058981233243967826,0.05630026809651475,0.0600375234521576,0.05628517823639775,0.014388489208633094,0.014388489208633094,0.07258064516129033,0.07056451612903226,0.04838709677419355,0.0427807486631016,0.058333333333333334,0.06068601583113457,0.0633245382585752,0.05242528172464478
Fairy,0.03597122302158273,0.03597122302158273,0.036231884057971016,0.05855855855855856,0.05855855855855856,0.05829596412556054,0.05181347150259067,0.046632124352331605,0.061224489795918366,0.061855670103092786,0.05042016806722689,0.04739336492890995,0.04739336492890995,0.04597701149425287,0.04289544235924933,0.04582210242587601,0.025714285714285714,0.04,0.031609195402298854,0.031609195402298854,0.05286343612334802,0.05066079295154185,0.03794642857142857,0.03571428571428571,0.08042895442359249,0.07506702412868632,0.06566604127579738,0.0600375234521576,0.03597122302158273,0.03597122302158273,0.07459677419354839,0.07258064516129033,0.0456989247311828,0.0427807486631016,0.05416666666666667,0.0712401055408971,0.06860158311345646,0.052098644455332355
None,0.539568345323741,0.5467625899280576,0.5434782608695652,0.5495495495495496,0.5495495495495496,0.5336322869955157,0.5129533678756477,0.5077720207253886,0.5102040816326531,0.520618556701031,0.5462184873949579,0.5118483412322274,0.5213270142180095,0.5080459770114942,0.517426273458445,0.5256064690026954,0.48,0.48,0.514367816091954,0.5114942528735632,0.44933920704845814,0.44493392070484583,0.5558035714285714,0.5580357142857143,0.5093833780160858,0.5120643431635389,0.4540337711069418,0.4540337711069418,0.539568345323741,0.5467625899280576,0.4798387096774194,0.46975806451612906,0.510752688172043,0.5267379679144385,0.5416666666666666,0.48812664907651715,0.5118733509234829,0.5055528335783113
Total,139.0,139.0,138.0,222.0,222.0,223.0,193.0,193.0,196.0,194.0,238.0,422.0,422.0,435.0,373.0,371.0,350.0,450.0,348.0,348.0,454.0,454.0,448.0,448.0,373.0,373.0,533.0,533.0,139.0,139.0,496.0,496.0,372.0,374.0,240.0,379.0,379.0,12246.0
